01-08 01:24:12.876 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:1,isCodecConfig:1
01-08 01:24:13.143 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.144 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.145 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.147 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.148 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.149 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.151 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.152 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.175 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.306 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.441 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.443 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.444 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.446 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.446 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.447 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.447 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.708 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.708 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.709 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.709 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.711 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.711 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.711 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.712 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:13.740 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
